,Date,Open,High,Low,Close*,Adj Close**,Volume,percentage,z-score,Label,significance,sentiment,30_SMA,50_SMA,200_SMA,EMA,Upper Bollinger Band,Lower Bollinger Band,stoch_k,stoch_d,Gain,Loss,AVG_Gain,AVG_Loss,RS,RSI,obv,VAO,Positive,VolumePositive
0,2008-09-17,11056.58,11057.31,10595.9,10609.66,10609.66,463200000.0,-0.0406328951389907,-3.4039071340391600,0.0,1.0,-1.1666666666666700,10609.66,10609.66,10609.66,,,,,,,,,,,,0.0,-100488924000.00000,FALSE,FALSE
1,2008-09-18,10609.01,11076.44,10459.44,11019.69,11019.69,488060000.0,0.0386468557899122,-1.5646335658769500,1.0,1.0,-0.4,10814.675,10814.675,10814.675,,,,,,410.03000000000100,0.0,,,,,488060000.0,122869105000.0,TRUE,TRUE
2,2008-09-19,11027.51,11483.05,11026.7,11388.44,11388.44,655110000.0,0.0334628288091589,0.011810094439168,1.0,2.0,-0.42857142857142900,11005.93,11005.93,11005.93,,,,,,368.75,0.0,,,,,1143170000.0,87499767150.00030,TRUE,TRUE
3,2008-09-22,11394.42,11394.58,10992.2,11015.69,11015.69,213210000.0,-0.0327305583556659,-1.5492443560674000,0.0,2.0,-1.2,11008.37,11008.37,11008.37,,,,,,0.0,372.75,,,,,929960000.0,-37887416999.99980,FALSE,FALSE
4,2008-09-23,11015.69,11143.21,10833.94,10854.17,10854.17,204480000.0,-0.0146627219901794,-2.108707124133070,0.0,3.0,-1.5714285714285700,10977.53,10977.53,10977.53,,,,,,0.0,161.52000000000000,,,,,725480000.0,-27483134400.000100,FALSE,FALSE
5,2008-09-24,10850.02,10928.4,10753.57,10825.17,10825.17,183630000.0,-0.0026717842082812,-2.128798727994110,0.0,4.0,-0.2,10952.136666666700,10952.136666666700,10952.136666666700,,,,,,0.0,29.0,,,,,541850000.0,-2904108450.0000900,FALSE,FALSE
6,2008-09-25,10827.17,11129.19,10827.01,11022.06,11022.06,218530000.0,0.0181881670218573,-1.3534778223980700,1.0,2.0,-0.5,10962.125714285700,10962.125714285700,10962.125714285700,,,,,,196.88999999999900,0.0,,,,,760380000.0,9606578799.99981,TRUE,TRUE
7,2008-09-26,11019.04,11168.06,10868.82,11143.13,11143.13,232560000.0,0.0109843350517053,-0.9117466495459490,1.0,1.0,-1.5,10984.75125,10984.75125,10984.75125,,,,,,121.07000000000000,0.0,,,,,992940000.0,28997906400.00010,TRUE,TRUE
8,2008-09-29,11139.62,11139.94,10365.45,10365.45,10365.45,385940000.0,-0.0697900859094347,-3.4382807722834600,0.0,3.0,-0.3333333333333330,10915.94,10915.94,10915.94,,,,,,0.0,777.6799999999990,,,,,607000000.0,-149453335300.0000,FALSE,FALSE
9,2008-09-30,10371.58,10868.9,10371.42,10850.66,10850.66,319770000.0,0.0468103169664606,-1.6686560838271000,1.0,2.0,-0.25,10909.412,10909.412,10909.412,,,,,,485.2099999999990,0.0,,,,,926770000.0,73706985000.0,TRUE,TRUE
